"","congressperson_name","state","party","total_net_value","subquota_description","supplier","year"
"6031","ALCENI GUERRA","PR","DEM",110,"Locomotion, meal and lodging","SAN PIETRO HOTEL",2009
"6032","ALDO REBELO","SP","PCdoB",3.9,"Locomotion, meal and lodging","CONC.SISTEMA ANHANGUERA-BAND.S.A.",2009
"6033","ALEX CANZIANI","PR","PTB",264.42,"Locomotion, meal and lodging","TRIP LINHAS AEREAS",2009
"6034","ALEXANDRE SANTOS","RJ","PMDB",6000,"Locomotion, meal and lodging","TRANS-TRATEK",2009
"6035","ALFREDO KAEFER","PR","PSL",118.8,"Locomotion, meal and lodging","BOURBON PALACE HOTEL LTDA",2009
"6036","ALICE PORTUGAL","BA","PCdoB",55,"Locomotion, meal and lodging","LE MANS ESTACIONAMENTO LTDA",2009
"6037","ALINE CORRÊA","SP","PP",568.52,"Locomotion, meal and lodging","MUNDO TOUR - AGENCIA DE VIAGENS E TURISMO LTDA",2009
"6038","ANA ARRAES","PE","PSB",9.99,"Locomotion, meal and lodging","TORTARIA MATOK",2009
"6039","ANDRÉ DE PAULA","PE","PSD",60,"Locomotion, meal and lodging","PBJM COMÉRICIO DE GÊNEROS ALIMENTÍCIOS LTDA",2009
"6040","ANDRE VARGAS","PR","S.PART.",5.2,"Locomotion, meal and lodging","RODOVIAS INTEGRADAS DO PARANÁ SA",2009
"6041","ANDRÉ ZACHAROW","PR","PMDB",47.08,"Locomotion, meal and lodging","TAVARES & FUOCO LTDA",2009
"6042","ANDREIA ZITO","RJ","PSDB",7.7,"Locomotion, meal and lodging","PEDÁGIO CONCESSIONÁRIA RIO TERESÓPOLIS",2009
"6043","ANGELA AMIN","SC","PP",140,"Locomotion, meal and lodging","SANDRI PALACE HOTEL",2009
"6044","ANGELA PORTELA","RR","PT",5280,"Locomotion, meal and lodging","CECAD RENT A CAR",2009
"6045","ANGELO VANHONI","PR","PT",198.24,"Locomotion, meal and lodging","VERONESI HOTEISLTDA",2009
"6046","ANÍBAL GOMES","CE","PMDB",3300,"Locomotion, meal and lodging","TAF TAXI AÉREO FORTALEZA LTDA",2009
"6047","ANSELMO DE JESUS","RO","PT",20,"Locomotion, meal and lodging","DISK TÁXI AMAZÔNIA",2009
"6048","ANTÔNIO ANDRADE","MG","PMDB",32.85,"Locomotion, meal and lodging","DA NOI CAFFE",2009
"6049","ANTONIO BULHÕES","SP","PRB",136.46,"Locomotion, meal and lodging","CSH PIER 21 COMERCIO DE ALIMENTOS LTDA.",2009
"6050","ANTONIO CARLOS CHAMARIZ","AL","PTB",10,"Locomotion, meal and lodging","COOPERTAXI",2009
"6051","ANTONIO CARLOS MAGALHÃES NETO","BA","DEM",8000,"Locomotion, meal and lodging","ATLANTA TAXI AÉREO S.A",2009
"6052","ANTONIO CARLOS MENDES THAME","SP","PV",5.2,"Locomotion, meal and lodging","DISQUE AUTO BAN",2009
"6053","ANTONIO CARLOS PANNUNZIO","SP","PSDB",1064.96,"Locomotion, meal and lodging","CENTRO DE GESTÃO DE MEIOS E PGTO S/A",2009
"6054","ANTONIO CRUZ","MS","PP",4245.08,"Locomotion, meal and lodging","ENZO",2009
"6055","ANTONIO FEIJÃO","AP","PTC",38.38,"Locomotion, meal and lodging","L.AZEVEDO PEREIRA - ME",2009
"6056","ANTONIO PALOCCI","SP","PT",33,"Locomotion, meal and lodging","SINPERTAXI",2009
"6057","ANTÔNIO ROBERTO","MG","PV",42,"Locomotion, meal and lodging","SINPETAXI",2009
"6058","ARACELY DE PAULA","MG","PR",49.83,"Locomotion, meal and lodging","FRANCISCO RESTAURANTE",2009
"6059","ARIOSTO HOLANDA","CE","PDT",1400,"Locomotion, meal and lodging","PORTO RENT A CAR",2009
"6060","ARLINDO CHINAGLIA","SP","PT",17,"Locomotion, meal and lodging","CONCESS. ECOVIAS DOS IMIGRANTES",2009
"6061","ARMANDO ABÍLIO","PB","PTB",19.8,"Locomotion, meal and lodging","GR S/A",2009
"6062","ARMANDO MONTEIRO","PE","PTB",321.15,"Locomotion, meal and lodging","JD TURISMO",2009
"6063","ARNALDO FARIA DE SÁ","SP","PTB",52.2,"Locomotion, meal and lodging","COMERCIAL FRANGO ASSADO LTDA",2009
"6064","ARNALDO JARDIM","SP","PPS",7.1,"Locomotion, meal and lodging","CENTROVIAS",2009
"6065","ARNALDO MADEIRA","SP","PSDB",2260,"Locomotion, meal and lodging","GUIA VEICULOS LTDA",2009
"6066","ARNALDO VIANNA","RJ","PDT",5.5,"Locomotion, meal and lodging","RODOPORTO OASIS LTDA",2009
"6067","ARNON BEZERRA","CE","PTB",395.42,"Locomotion, meal and lodging","OCEANAIR",2009
"6068","AROLDE DE OLIVEIRA","RJ","PSC",3698,"Locomotion, meal and lodging","BRASAL  BRASÍLIA SERVIÇOS AUTOMOTORES S/A",2009
"6069","ASDRUBAL BENTES","PA","PMDB",8000,"Locomotion, meal and lodging","LOCADORA LIMA",2009
"6070","ASSIS DO COUTO","PR","PDT",180,"Locomotion, meal and lodging","HOTEL VILHAR PALACE HOTEL LTDA",2009
"6071","ÁTILA LINS","AM","PSD",12000,"Locomotion, meal and lodging","CLEITON TAXI AÉREO LTDA",2009
"6072","ÁTILA LIRA","PI","PSB",140,"Locomotion, meal and lodging","HOTEL POUSADA DO CÔNEGO",2009
"6073","AUGUSTO FARIAS","AL","PTB",160,"Locomotion, meal and lodging","ONEIDE AUGUSTA DE OLIVEIRA (AUGUSTO PALACE HOTEL )",2009
"6074","BARBOSA NETO","PR","PDT",98,"Locomotion, meal and lodging","RESTAURANTE NORTE-SUL 24 HORAS LTDA.",2009
"6075","BEL MESQUITA","PA","PMDB",170,"Locomotion, meal and lodging","BRAVOS HOTEL",2009
"6076","BENEDITO DE LIRA","AL","PP",4950,"Locomotion, meal and lodging","TREVO LOCADORA DE VEICULOS LTDA",2009
"6077","BERNARDO ARISTON","RJ","PMDB",7.2,"Locomotion, meal and lodging","CONCER",2009
"6078","BETINHO ROSADO","RN","PP",2250,"Locomotion, meal and lodging","MOTOCAR LOCADORA E CORRETORA",2009
"6079","BETO ALBUQUERQUE","RS","PSB",75,"Locomotion, meal and lodging","ROSMER PALACE HOTEL",2009
"6080","BETO FARO","PA","PT",100,"Locomotion, meal and lodging","HOTEL OLIVEIRA LTDA",2009
"6081","BETO MANSUR","SP","PRB",20,"Locomotion, meal and lodging","ASSOCIAÇÃO MOTORISTAS TÁXI COMUM AEROPORTO CONGONH",2009
"6082","BIFFI","MS","PT",20.5,"Locomotion, meal and lodging","A XAVIER",2009
"6083","BILAC PINTO","MG","PR",293,"Locomotion, meal and lodging","CASTRO MARQUE HOTEIS LTDA",2009
"6084","BISPO GÊ TENUTA","SP","DEM",7.9,"Locomotion, meal and lodging","ARCOS DOURADOS COM DE ALIMENTOS LTDA",2009
"6085","BRIZOLA NETO","RJ","PDT",3200,"Locomotion, meal and lodging","BRASFOR SERVIÇOS E LOGISTICA LTDA",2009
"6086","BRUNO ARAÚJO","PE","PSDB",600,"Locomotion, meal and lodging","OLHOS NOTURNOS",2009
"6087","BRUNO RODRIGUES","PE","PSDB",4250,"Locomotion, meal and lodging","BRASAL BRASÍLIA SERVIÇOS AUTOMOTORES S/A",2009
"6088","CÂNDIDO VACCAREZZA","SP","PT",5.9,"Locomotion, meal and lodging","ANHANGUERA BANDEIRANTES",2009
"6089","CAPITÃO ASSUMÇÃO","ES","PSB",34.1,"Locomotion, meal and lodging","LMF- COMÉRCIO E SERVIÇOS ALIMENTÍCIOS LTDA EPP",2009
"6090","CARLOS ABICALIL","MT","PT",22.55,"Locomotion, meal and lodging","RESTAURANTE GODEN DRAGON LTDA",2009
"6091","CARLOS ALBERTO CANUTO","AL","PSC",168.9,"Locomotion, meal and lodging","GRATO COMERCIO DE ALIMENTOS LTDA - EPP",2009
"6092","CARLOS ALBERTO LERÉIA","GO","PSDB",4120,"Locomotion, meal and lodging","RENTAL FROTA LOCAÇÃO DE VEICULOS E SERVIÇOS LTDA.",2009
"6093","CARLOS BEZERRA","MT","PMDB",99,"Locomotion, meal and lodging","CHURRASCARIA BOI NA BRASA",2009
"6094","CARLOS BRANDÃO","MA","PSDB",7000,"Locomotion, meal and lodging","DELANO MARTINS COELHO",2009
"6095","CARLOS EDUARDO CADOCA","PE","PDT",35.69,"Locomotion, meal and lodging","E & D COMÉRCIO DE ALIMENTOS LTDA",2009
"6096","CARLOS MANATO","ES","SD",3500,"Locomotion, meal and lodging","CIACAR COMÉRCIO DE VEÍCULOS LTDA",2009
"6097","CARLOS SAMPAIO","SP","PSDB",1457,"Locomotion, meal and lodging","FERNANDO EDU COLASSUONNO ME",2009
"6098","CARLOS SANTANA","RJ","PT",2162.55,"Locomotion, meal and lodging","RENTAL FROTA LOCAÇÃO DE VEICULOS E SERVIÇOS LTDA",2009
"6099","CARLOS WILLIAN","MG","PTC",7161.33,"Locomotion, meal and lodging","EDUCATIV INDÚSTRIA E COMÉRCIO LTDA.",2009
"6100","CARLOS ZARATTINI","SP","PT",223.96,"Locomotion, meal and lodging","GRAN RIO  PARK HOTEL LTDA",2009
"6101","CELSO MALDANER","SC","PMDB",10.9,"Locomotion, meal and lodging","RESTAURANTE RESTELATTO LTDA",2009
"6102","CELSO RUSSOMANNO","SP","PRB",70.3,"Locomotion, meal and lodging","ALMANARA",2009
"6103","CEZAR SILVESTRI","PR","PPS",3000,"Locomotion, meal and lodging","INFORMATION SYSTEM TECNOLOGIA LTDA - ME",2009
"6104","CHARLES LUCENA","PE","PTB",6500,"Locomotion, meal and lodging","PARCERIA SERVIÇOS TÉCNICOS LTDA",2009
"6105","CHICO ABREU","GO","PR",66,"Locomotion, meal and lodging","JERIVA RESTAURANTE E LANCGHONETE",2009
"6106","CHICO ALENCAR","RJ","PSOL",15,"Locomotion, meal and lodging","RÁDIO TÁXI BRASÍLIA",2009
"6107","CHICO D'ANGELO","RJ","PT",132,"Locomotion, meal and lodging","ZERARO PRODUTOS ALIMENTICIOS",2009
"6108","CHICO DA PRINCESA","PR","PR",3500,"Locomotion, meal and lodging","ALINE VEÍCULOS LTDA.",2009
"6109","CHICO LOPES","CE","PCdoB",206,"Locomotion, meal and lodging","VIEIRA & MELO  HOTELARIA LTDA",2009
"6110","CIDA DIOGO","RJ","PT",29.61,"Locomotion, meal and lodging","VIAÇÃO CIDADE DO AÇO LTDA",2009
"6111","CIRO GOMES","CE","PSB",2500,"Locomotion, meal and lodging","AMARILDO OLIVEIRA ARAGÃO - ME",2009
"6112","CIRO NOGUEIRA","PI","PP",69.49,"Locomotion, meal and lodging","CARVALHO E SOBRAL LTDA",2009
"6113","CIRO PEDROSA","MG","PV",2500,"Locomotion, meal and lodging","AGENCIA CAMBIO TURISMO E VIAGENS LTDA",2009
"6114","CLAUDIO CAJADO","BA","DEM",314.87,"Locomotion, meal and lodging","HOTELARIA ACCOR BRASIL S/A",2009
"6115","CLAUDIO DIAZ","RS","PSDB",144.5,"Locomotion, meal and lodging","RESTAURANTE OPÇÃO",2009
"6116","CLEBER VERDE","MA","PRB",8000,"Locomotion, meal and lodging","GC LOCADORA D E VEÍCULOS LTDA",2009
"6117","CLÓVIS FECURY","MA","DEM",7500,"Locomotion, meal and lodging","DISCOVERY TRANSPORTE E  LOGISTICA LTDA",2009
"6118","COLBERT MARTINS","BA","PMDB",4500,"Locomotion, meal and lodging","FALCÃO INDUSTRIA E COMÉRCIO LTDA",2009
"6119","DAGOBERTO NOGUEIRA","MS","PDT",9500,"Locomotion, meal and lodging","ROMA RENT A CAR",2009
"6120","DALVA FIGUEIREDO","AP","PT",556.07,"Locomotion, meal and lodging","SAN MARCO HOTEL",2009
"6121","DAMIÃO FELICIANO","PB","PDT",4000,"Locomotion, meal and lodging","JM LOCAÇÃO DE VEÍCULOS LTDA",2009
"6122","DANIEL ALMEIDA","BA","PCdoB",6800,"Locomotion, meal and lodging","BAHIA TÁXI AÉREO LTDA",2009
"6123","DARCÍSIO PERONDI","RS","PMDB",2460,"Locomotion, meal and lodging","AUTOLOCADORA ALL JUNIOR LTDA",2009
"6124","DAVI ALVES SILVA JÚNIOR","MA","PR",2500,"Locomotion, meal and lodging","A NOSSA LOCADORA DE VEÍCULOS LTDA",2009
"6125","DÉCIO LIMA","SC","PT",3300,"Locomotion, meal and lodging","AVIS",2009
"6126","DELEY","RJ","PTB",190,"Locomotion, meal and lodging","SEMPARAR VIA FÁCIL - PEDAGIO",2009
"6127","DEVANIR RIBEIRO","SP","PT",1.2,"Locomotion, meal and lodging","CONCESS DO RODOANEL OESTE SA",2009
"6128","DILCEU SPERAFICO","PR","PP",50,"Locomotion, meal and lodging","RADIO TAXI MIL",2009
"6129","DIMAS RAMALHO","SP","PPS",3800,"Locomotion, meal and lodging","P.H. SACCO - ME",2009
"6130","DOMINGOS DUTRA","MA","SD",15.67,"Locomotion, meal and lodging","BEIRUTE PAES E DOCES LTDA.",2009
"6131","DR. ADILSON SOARES","RJ","PR",7.2,"Locomotion, meal and lodging","CONCER",2009
"6132","DR. NECHAR","SP","PP",81.55,"Locomotion, meal and lodging","FOGÃO DE PEDRA",2009
"6133","DR. PAULO CÉSAR","RJ","PR",202.75,"Locomotion, meal and lodging","NORTE HOTELARIA S/A - HOTEL REGENTE",2009
"6134","DR. ROSINHA","PR","PT",96,"Locomotion, meal and lodging","VERDES COPAS HOTEL",2009
"6135","DR. UBIALI","SP","PSB",111.14,"Locomotion, meal and lodging","COOBRÁS",2009
"6136","DR.TALMIR","SP","PV",300,"Locomotion, meal and lodging","HOTEL DE TURISMO DAS NAÇÕES LTDA",2009
"6137","DUARTE NOGUEIRA","SP","PSDB",5.2,"Locomotion, meal and lodging","AUTOBAN",2009
"6138","EDGAR MOURY","PE","PMDB",3845.84,"Locomotion, meal and lodging","ACTIVA EMPREENDIMENTOS E SERVIÇOS LTDA",2009
"6139","EDIGAR MÃO BRANCA","BA","PV",110,"Locomotion, meal and lodging","LOCALIZA RENTE A CAR S/A",2009
"6140","EDINHO BEZ","SC","PMDB",15,"Locomotion, meal and lodging","SERV NAC DE APRENDIZAGEM COMERCIAL SENAC",2009
"6141","EDIO LOPES","RR","PR",440,"Locomotion, meal and lodging","KAELE LTDA",2009
"6142","EDMILSON VALENTIM","RJ","PCdoB",50,"Locomotion, meal and lodging","RÁDIO TAXI VERMELHO E BRANCO",2009
"6143","EDSON APARECIDO","SP","PSDB",6,"Locomotion, meal and lodging","EST. MENSAL E AVULSO 24 HORAS",2009
"6144","EDSON DUARTE","BA","PV",4800,"Locomotion, meal and lodging","WTM - CONSTRUÇÕES E TRANSPORTES LTDA",2009
"6145","EDUARDO AMORIM","SE","PSC",3950,"Locomotion, meal and lodging","EFERRE TRANSPORTES E SERVIÇOS LTDA",2009
"6146","EDUARDO BARBOSA","MG","PSDB",10.8,"Locomotion, meal and lodging","GIRAFFAS",2009
"6147","EDUARDO CUNHA","RJ","PMDB",3.5,"Locomotion, meal and lodging","AEROPARK",2009
"6148","EDUARDO DA FONTE","PE","PP",726.35,"Locomotion, meal and lodging","POSADAS DO BRASIL EMPREENDIMENTOS HOTELEIROS LTDA",2009
"6149","EDUARDO GOMES","TO","SD",45,"Locomotion, meal and lodging","CHURRASCARIA PAMPA",2009
"6150","EDUARDO LOPES","RJ","PRB",99,"Locomotion, meal and lodging","TRANSCOOPASS",2009
"6151","EDUARDO SCIARRA","PR","PSD",312,"Locomotion, meal and lodging","BOURBON EXPRESS HOTEL",2009
"6152","EDUARDO VALVERDE","RO","PT",120,"Locomotion, meal and lodging","GRANVILLE HOTEL",2009
"6153","EFRAIM FILHO","PB","DEM",98.12,"Locomotion, meal and lodging","RMP COMERCIO DE ALIMENTOS LTDA",2009
"6154","ELCIONE BARBALHO","PA","PMDB",5137,"Locomotion, meal and lodging","NORAUTO RENT A CAR LTDA.",2009
"6155","ELEUSES PAIVA","SP","PSD",2500,"Locomotion, meal and lodging","NEVADA RENT A CAR LTDA",2009
"6156","ELIENE LIMA","MT","PSD",1104,"Locomotion, meal and lodging","SETE LINHAS AÉREAS",2009
"6157","ELISEU PADILHA","RS","PMDB",100,"Locomotion, meal and lodging","RESTAURANTE RUA DA PRAIA LTDA",2009
"6158","ELIZEU AGUIAR","PI","PTB",1362.19,"Locomotion, meal and lodging","TREVO RENT A CAR",2009
"6159","EMANUEL FERNANDES","SP","PSDB",8.7,"Locomotion, meal and lodging","VIANORTE",2009
"6160","EMILIA FERNANDES","RS","PT",256,"Locomotion, meal and lodging","DEON EMPREENDIMENTOS EM HOTELARIA LTDA",2009
"6161","EMILIANO JOSÉ","BA","PT",15.75,"Locomotion, meal and lodging","GERGELIM COMÉRCIO DE ALIMENTOS",2009
"6162","ENIO BACCI","RS","PDT",67,"Locomotion, meal and lodging","CANTELLE HOTEL",2009
"6163","ERNANDES AMORIM","RO","PTB",1900,"Locomotion, meal and lodging","FLAMBOYANT PALACE HOTEL LTDA",2009
"6164","EUDES XAVIER","CE","PT",122.26,"Locomotion, meal and lodging","RESTAURANTE CAICÓ",2009
"6165","EUGÊNIO RABELO","CE","PP",68.46,"Locomotion, meal and lodging","ITO DISTRIBUIDORA DE ALIMENTOS LTDA",2009
"6166","EVANDRO MILHOMEN","AP","PCdoB",4500,"Locomotion, meal and lodging","COOVAP.COOPERATIVA DOS PROPRIETARIOS DE TRANSPORTE",2009
"6167","FÁBIO RAMALHO","MG","PMDB",477.78,"Locomotion, meal and lodging","PIEMONTE HOTEL",2009
"6168","FÁBIO SOUTO","BA","DEM",51.5,"Locomotion, meal and lodging","HABIB NUNES FAIR",2009
"6169","FÁTIMA BEZERRA","RN","PT",81,"Locomotion, meal and lodging","HOTEL D´ALMEIDA",2009
"6170","FÁTIMA PELAES","AP","PMDB",102,"Locomotion, meal and lodging","TUCUXI",2009
"6171","FELIPE MAIA","RN","DEM",82.72,"Locomotion, meal and lodging","CAMARÕES DO SERTÃO COMÉRCIO LTDA",2009
"6172","FÉLIX MENDONÇA","BA","DEM",2190,"Locomotion, meal and lodging","BOMTOUR SERVIÇOS LTDA",2009
"6173","FERNANDO CHIARELLI","SP","PDT",115,"Locomotion, meal and lodging","REAL CASTILHA HOTEL LTDA",2009
"6174","FERNANDO CHUCRE","SP","PSDB",3.5,"Locomotion, meal and lodging","LE MANS ESTACIONAMENTO AEROPARK",2009
"6175","FERNANDO COELHO FILHO","PE","S.PART.",5500,"Locomotion, meal and lodging","EMPRESA BRASILEIRA DE LOCAÇÃO E TRANSPORTE",2009
"6176","FERNANDO CORUJA","SC","PPS",42,"Locomotion, meal and lodging","SINDICATO DOS PERMISSIONÁRIOS DE TÁXIS E MOTORISTA",2009
"6177","FERNANDO DINIZ","MG","PMDB",174.62,"Locomotion, meal and lodging","WEBJET LINHAS AEREAS",2009
"6178","FERNANDO FERRO","PE","PT",2480,"Locomotion, meal and lodging","FENIX LOCADORA",2009
"6179","FERNANDO GABEIRA","RJ","PV",166,"Locomotion, meal and lodging","COOPATUR  COOP. DE TREB. MOT. AUT. DE TAXI",2009
"6180","FERNANDO MARRONI","RS","PT",14.2,"Locomotion, meal and lodging","F. ANDREIS & CIA LTDA.",2009
"6181","FERNANDO MELO","AC","PT",748,"Locomotion, meal and lodging","HOTEL NACIONAL S/A",2009
"6182","FERNANDO NASCIMENTO","PE","PT",25,"Locomotion, meal and lodging","SINPETAXI",2009
"6183","FLAVIANO MELO","AC","PMDB",720,"Locomotion, meal and lodging","SWAMY HOTEL",2009
"6184","FLÁVIO BEZERRA","CE","PRB",1146.8,"Locomotion, meal and lodging","STAFF LOCAÇÃO DE VEÍCULOS LTDA-ME",2009
"6185","FLÁVIO DINO","MA","PCdoB",21.79,"Locomotion, meal and lodging","TAVOLLA GRILL",2009
"6186","FRANCISCO PRACIANO","AM","PT",900,"Locomotion, meal and lodging","RIO BRANCO AERO TAXI LTDA",2009
"6187","FRANCISCO ROSSI","SP","PMDB",12.97,"Locomotion, meal and lodging","COMERCIAL FRANGO ASSADO",2009
"6188","FRANCISCO TENÓRIO","AL","PMN",38.3,"Locomotion, meal and lodging","COOPERTAXI 202 NORTE",2009
"6189","GASTÃO VIEIRA","MA","PMDB",3600,"Locomotion, meal and lodging","GUARANY TAXI AÉREO LTDA",2009
"6190","GEORGE HILTON","MG","PSB",4590,"Locomotion, meal and lodging","BRASAL",2009
"6191","GERALDO RESENDE","MS","PSDB",110,"Locomotion, meal and lodging","IBIS CAMPO GRANDE",2009
"6192","GERALDO SIMÕES","BA","PT",49.5,"Locomotion, meal and lodging","GIANCARLO COMÉRCIO DE ALIMENTOS LTDA EPP",2009
"6193","GERALDO THADEU","MG","PSD",1390.85,"Locomotion, meal and lodging","LA GARE VEÍCULOS LTDA.",2009
"6194","GERMANO BONOW","RS","DEM",6,"Locomotion, meal and lodging","UNIVIAS",2009
"6195","GERSON PERES","PA","PP",17.96,"Locomotion, meal and lodging","JARDINS BUFFET",2009
"6196","GERVÁSIO SILVA","SC","PSDB",298.65,"Locomotion, meal and lodging","HOTEL  SOLARIS",2009
"6197","GIACOBO","PR","PR",10500,"Locomotion, meal and lodging","WEST WINGS",2009
"6198","GILMAR MACHADO","MG","PT",119.5,"Locomotion, meal and lodging","GONTIJO",2009
"6199","GIOVANNI QUEIROZ","PA","PDT",36.5,"Locomotion, meal and lodging","SPAZZIO VERDI",2009
"6200","GIVALDO CARIMBÃO","AL","PHS",2620,"Locomotion, meal and lodging","LOCADORA DE VEÍCULOS SÃO SEBASTIÃO",2009
"6201","GLADSON CAMELI","AC","PP",330,"Locomotion, meal and lodging","J. V. S. DE CARVALHO - ME",2009
"6202","GONZAGA PATRIOTA","PE","PSB",3900,"Locomotion, meal and lodging","CITYCAR - LOCAÇÃO DE VEÍCULOS E SERVIÇOS LTDA ME",2009
"6203","GUILHERME CAMPOS","SP","PSD",4.9,"Locomotion, meal and lodging","CONC. ROD. INT. PAULISTA S.A.",2009
"6204","HENRIQUE AFONSO","AC","PV",19.74,"Locomotion, meal and lodging","CHURRASCARIA PAMPA",2009
"6205","HENRIQUE EDUARDO ALVES","RN","PMDB",4000,"Locomotion, meal and lodging","EXECUTIVA AUTO LOCADORA",2009
"6206","HENRIQUE FONTANA","RS","PT",6,"Locomotion, meal and lodging","UNIVIAS",2009
"6207","HERMES PARCIANELLO","PR","PMDB",9.2,"Locomotion, meal and lodging","RODOVIA DAS CATARATAS SA.",2009
"6208","HOMERO PEREIRA","MT","PSD",276,"Locomotion, meal and lodging","MANAH PALACE HOTEL",2009
"6209","HUGO LEAL","RJ","PSB",7.2,"Locomotion, meal and lodging","CONCER",2009
"6210","HUMBERTO SOUTO","MG","PPS",70,"Locomotion, meal and lodging","COOPERBH TAXI",2009
"6211","IBSEN PINHEIRO","RS","PMDB",3.3,"Locomotion, meal and lodging","CONCEPA. CONC. DA ROD. OSÓRIO PORTO ALEGRE - S/A",2009
"6212","ILDERLEI CORDEIRO","AC","PPS",2000,"Locomotion, meal and lodging","CENTER COMERCIO E CONSULTORIA LTDA ME",2009
"6213","INDIO DA COSTA","RJ","PSD",89.04,"Locomotion, meal and lodging","JULIENNE BAR E RESTAURANTE LTDA",2009
"6214","INOCÊNCIO OLIVEIRA","PE","PR",12000,"Locomotion, meal and lodging","AUGUSTO TURISMO LTDA.",2009
"6215","IRAN BARBOSA","SE","PT",1500,"Locomotion, meal and lodging","TRANSLORE TRANSPORTES E SERVIÇOS",2009
"6216","IRINY LOPES","ES","PT",2230,"Locomotion, meal and lodging","PREST RENT CAR",2009
"6217","ÍRIS DE ARAÚJO","GO","PMDB",29.74,"Locomotion, meal and lodging","VIAÇÃO ARAGUARINA LTDA",2009
"6218","IVAN VALENTE","SP","PSOL",5.9,"Locomotion, meal and lodging","AUTOBAN",2009
"6219","JACKSON BARRETO","SE","PMDB",5000,"Locomotion, meal and lodging","RB 1000 ALUGUEL DE VEÍCULOS",2009
"6220","JAIME MARTINS","MG","PSD",3.5,"Locomotion, meal and lodging","NASCENTES DAS GERAIS",2009
"6221","JAIRO ATAÍDE","MG","DEM",31,"Locomotion, meal and lodging","COOPERTRAMO",2009
"6222","JANETE CAPIBERIBE","AP","PSB",24,"Locomotion, meal and lodging","BRASILIA RADIO TAXI",2009
"6223","JANETE ROCHA PIETÁ","SP","PT",22,"Locomotion, meal and lodging","COOBRÁS",2009
"6224","JEFFERSON CAMPOS","SP","PSD",88,"Locomotion, meal and lodging","RESTAURANTE KOSTELA DO JAPONÊS",2009
"6225","JERONIMO REIS","SE","DEM",9900,"Locomotion, meal and lodging","VOYAGE V. T.LTDA",2009
"6226","JILMAR TATTO","SP","PT",282.98,"Locomotion, meal and lodging","BAHIAINVEST INVESTIMENTOS TURÍSTICOS LTDA.",2009
"6227","JÔ MORAES","MG","PCdoB",15,"Locomotion, meal and lodging","RÁDIO TÁXI ALVORADA LTDA",2009
"6228","JOÃO ALMEIDA","BA","PSDB",13,"Locomotion, meal and lodging","CASA DO PÃO DE QUEIRO",2009
"6229","JOÃO BITTAR","MG","DEM",91,"Locomotion, meal and lodging","COOPERSUL - DISK TAXI",2009
"6230","JOÃO CAMPOS","GO","PRB",8.5,"Locomotion, meal and lodging","SIND. PERM. TAXIS E MOT. AUX. DO DIST. FEDERAL",2009
"6231","JOÃO CARLOS BACELAR","BA","PR",14,"Locomotion, meal and lodging","M.N JOBIM CONFEITARIA - ME",2009
"6232","JOÃO DADO","SP","SD",16,"Locomotion, meal and lodging","SENAC",2009
"6233","JOÃO HERRMANN NETO","SP","PDT",6000,"Locomotion, meal and lodging","PALESTRA TRANSPORTES LTDA",2009
"6234","JOÃO LEÃO","BA","PP",740.8,"Locomotion, meal and lodging","POUSADA DO RIO CORRENTE",2009
"6235","JOÃO MAGALHÃES","MG","PMDB",14.5,"Locomotion, meal and lodging","ARCOS DOURADOS COM DE ALIM LTDA.",2009
"6236","JOÃO MAIA","RN","PR",20,"Locomotion, meal and lodging","SINPETÁXI",2009
"6237","JOÃO MATOS","SC","PMDB",148,"Locomotion, meal and lodging","BRENT EMPREENDIMENTOS E ALIMENTAÇÃO LTDA.",2009
"6238","JOÃO OLIVEIRA","TO","DEM",54,"Locomotion, meal and lodging","RESTAURANTE DO LAGO",2009
"6239","JOÃO PAULO CUNHA","SP","PT",194,"Locomotion, meal and lodging","HOTEL VOLLARE LTDA",2009
"6240","JOÃO PIZZOLATTI","SC","PP",173.96,"Locomotion, meal and lodging","GOLDEN EXECUTIVE HOTEL",2009
"6241","JOAQUIM BELTRÃO","AL","PMDB",70,"Locomotion, meal and lodging","ENIO ALAN TORRESDE VASCONCELOS",2009
"6242","JOFRAN FREJAT","DF","PR",35.4,"Locomotion, meal and lodging","MARIANA COMERCIAL DE ALIMENTOS LTDA",2009
"6243","JORGE BOEIRA","SC","PP",38,"Locomotion, meal and lodging","SINTAXI",2009
"6244","JORGE KHOURY","BA","DEM",4800,"Locomotion, meal and lodging","LUPA TRANSPORTES COMÉRCIO E SERVIÇOS LTDA.",2009
"6245","JORGE TADEU MUDALEN","SP","DEM",110,"Locomotion, meal and lodging","RPS BAR E RESTAURANTE LTDA",2009
"6246","JORGINHO MALULY","SP","DEM",5600,"Locomotion, meal and lodging","AST TRANSPORTES LTDA",2009
"6247","JOSÉ AIRTON CIRILO","CE","PT",42.24,"Locomotion, meal and lodging","COMIDAS REGIONAIS DO BRASIL LTDA",2009
"6248","JOSÉ ANÍBAL","SP","PSDB",3200,"Locomotion, meal and lodging","FERNANDO EDU COLASSUONNO ME",2009
"6249","JOSÉ C. STANGARLINI","SP","PSDB",34.9,"Locomotion, meal and lodging","PIMENTA VERDE ALIMENTOS LTDA",2009
"6250","JOSÉ CARLOS ALELUIA","BA","DEM",5300,"Locomotion, meal and lodging","LOGUS",2009
